"Story","Title","Result","Date","Stability","Duration (s)"
"Invitation People","Search people name with null character","SUCCESS","2022-09-27T23:05:51.3834601+07:00[Asia/Bangkok]","0.0","0.16"
"Invitation People","Search people name with one character","SUCCESS","2022-09-27T23:05:51.5445773+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with a name","SUCCESS","2022-09-27T23:05:51.5655774+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with symbol","SUCCESS","2022-09-27T23:05:51.6026144+07:00[Asia/Bangkok]","0.0","0.03"
"Invitation People","Search people name with a full name","SUCCESS","2022-09-27T23:05:51.6351508+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with my contact","SUCCESS","2022-09-27T23:05:51.6584973+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with event","SUCCESS","2022-09-27T23:05:51.6899445+07:00[Asia/Bangkok]","0.0","0.05"
"Invitation People","Search people name with conections","SUCCESS","2022-09-27T23:05:51.7429013+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with people i follow","SUCCESS","2022-09-27T23:05:51.7639038+07:00[Asia/Bangkok]","0.0","0.03"
"Invitation People","Search people name with pages","SUCCESS","2022-09-27T23:05:51.8049624+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with hastag","SUCCESS","2022-09-27T23:05:51.8299606+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with name company","SUCCESS","2022-09-27T23:05:51.8548733+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with specification job","SUCCESS","2022-09-27T23:05:51.8942105+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with one character","SUCCESS","2022-09-27T23:05:51.9245325+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with number","SUCCESS","2022-09-27T23:05:51.946046+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with null","SUCCESS","2022-09-27T23:05:51.9732551+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with symbol","SUCCESS","2022-09-27T23:05:52.0015424+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with initial skill","SUCCESS","2022-09-27T23:05:52.0236181+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with Suggested job searches","SUCCESS","2022-09-27T23:05:52.0371299+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with salary","SUCCESS","2022-09-27T23:05:52.0612703+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with skill assigment","SUCCESS","2022-09-27T23:05:52.0772704+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with my job","SUCCESS","2022-09-27T23:05:52.0972149+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with alerts","SUCCESS","2022-09-27T23:05:52.1154813+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with interview prep","SUCCESS","2022-09-27T23:05:52.1288769+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with resume builder","SUCCESS","2022-09-27T23:05:52.1616257+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with job seeker guidance","SUCCESS","2022-09-27T23:05:52.1800619+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with email valid and password valid","SUCCESS","2022-09-27T23:05:52.2399107+07:00[Asia/Bangkok]","0.0","0.02"
"Sign in","Sign in with number phone and password valid","SUCCESS","2022-09-27T23:05:52.264122+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with one character email and password","SUCCESS","2022-09-27T23:05:52.2765365+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with symbol in email and password","SUCCESS","2022-09-27T23:05:52.2880441+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with null email and null password","SUCCESS","2022-09-27T23:05:52.3042847+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with email valid and password invalid","SUCCESS","2022-09-27T23:05:52.3318496+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with email invalid and password valid","SUCCESS","2022-09-27T23:05:52.343848+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with google account","SUCCESS","2022-09-27T23:05:52.3556639+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with Looking to create a page for a business?","SUCCESS","2022-09-27T23:05:52.3685296+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with email valid and password valid, show password","SUCCESS","2022-09-27T23:05:52.3775272+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with email valid and password valid, not show password","SUCCESS","2022-09-27T23:05:52.388288+07:00[Asia/Bangkok]","0.0","0.01"
