"Story","Title","Result","Date","Stability","Duration (s)"
"Sign in","Sign in with email valid and password valid","SUCCESS","2022-09-27T23:05:52.2399107+07:00[Asia/Bangkok]","0.0","0.02"
"Sign in","Sign in with number phone and password valid","SUCCESS","2022-09-27T23:05:52.264122+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with one character email and password","SUCCESS","2022-09-27T23:05:52.2765365+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with symbol in email and password","SUCCESS","2022-09-27T23:05:52.2880441+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with null email and null password","SUCCESS","2022-09-27T23:05:52.3042847+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with email valid and password invalid","SUCCESS","2022-09-27T23:05:52.3318496+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with email invalid and password valid","SUCCESS","2022-09-27T23:05:52.343848+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with google account","SUCCESS","2022-09-27T23:05:52.3556639+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with Looking to create a page for a business?","SUCCESS","2022-09-27T23:05:52.3685296+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with email valid and password valid, show password","SUCCESS","2022-09-27T23:05:52.3775272+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with email valid and password valid, not show password","SUCCESS","2022-09-27T23:05:52.388288+07:00[Asia/Bangkok]","0.0","0.01"
