"Story","Title","Result","Date","Stability","Duration (s)"
"Invitation People","Search people name with null character","SUCCESS","2022-09-27T23:05:51.3834601+07:00[Asia/Bangkok]","0.0","0.16"
"Invitation People","Search people name with one character","SUCCESS","2022-09-27T23:05:51.5445773+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with a name","SUCCESS","2022-09-27T23:05:51.5655774+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with symbol","SUCCESS","2022-09-27T23:05:51.6026144+07:00[Asia/Bangkok]","0.0","0.03"
"Invitation People","Search people name with a full name","SUCCESS","2022-09-27T23:05:51.6351508+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with my contact","SUCCESS","2022-09-27T23:05:51.6584973+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with event","SUCCESS","2022-09-27T23:05:51.6899445+07:00[Asia/Bangkok]","0.0","0.05"
"Invitation People","Search people name with conections","SUCCESS","2022-09-27T23:05:51.7429013+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with people i follow","SUCCESS","2022-09-27T23:05:51.7639038+07:00[Asia/Bangkok]","0.0","0.03"
"Invitation People","Search people name with pages","SUCCESS","2022-09-27T23:05:51.8049624+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with hastag","SUCCESS","2022-09-27T23:05:51.8299606+07:00[Asia/Bangkok]","0.0","0.02"
