"Story","Title","Result","Date","Stability","Duration (s)"
"Search job","Search job with name company","SUCCESS","2022-09-27T23:05:51.8548733+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with specification job","SUCCESS","2022-09-27T23:05:51.8942105+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with one character","SUCCESS","2022-09-27T23:05:51.9245325+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with number","SUCCESS","2022-09-27T23:05:51.946046+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with null","SUCCESS","2022-09-27T23:05:51.9732551+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with symbol","SUCCESS","2022-09-27T23:05:52.0015424+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with initial skill","SUCCESS","2022-09-27T23:05:52.0236181+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with Suggested job searches","SUCCESS","2022-09-27T23:05:52.0371299+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with salary","SUCCESS","2022-09-27T23:05:52.0612703+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with skill assigment","SUCCESS","2022-09-27T23:05:52.0772704+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with my job","SUCCESS","2022-09-27T23:05:52.0972149+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with alerts","SUCCESS","2022-09-27T23:05:52.1154813+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with interview prep","SUCCESS","2022-09-27T23:05:52.1288769+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with resume builder","SUCCESS","2022-09-27T23:05:52.1616257+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with job seeker guidance","SUCCESS","2022-09-27T23:05:52.1800619+07:00[Asia/Bangkok]","0.0","0.01"
