"Story","Title","Result","Date","Stability","Duration (s)"
"Cart","I want to get all cart","ERROR","2022-10-25T17:28:11.1774831+07:00[Asia/Bangkok]","0.0","1.05"
"Cart","I want to Get a single cart","ERROR","2022-10-25T17:28:12.2535123+07:00[Asia/Bangkok]","0.0","0.06"
"Cart","I want to Get Limit results Cart","ERROR","2022-10-25T17:28:12.3393335+07:00[Asia/Bangkok]","0.0","0.05"
"Cart","I want to Get Sort results cart","ERROR","2022-10-25T17:28:12.3987205+07:00[Asia/Bangkok]","0.0","0.04"
"Cart","I want to Add new cart","ERROR","2022-10-25T17:28:12.4486636+07:00[Asia/Bangkok]","0.0","0.03"
"Login","I want to login with valid username and valid password","SUCCESS","2022-10-25T17:28:11.2927539+07:00[Asia/Bangkok]","0.0","4.46"
"Login","I want to login with valid username and invalid password","SUCCESS","2022-10-25T17:28:15.7616388+07:00[Asia/Bangkok]","0.0","1.04"
"Login","I want to login with invalid username and valid password","SUCCESS","2022-10-25T17:28:16.8024113+07:00[Asia/Bangkok]","0.0","0.88"
"Login","I want to login with null username and null password","SUCCESS","2022-10-25T17:28:17.6880713+07:00[Asia/Bangkok]","0.0","0.67"
"Products","I want to get all products","SUCCESS","2022-10-25T17:28:11.2766243+07:00[Asia/Bangkok]","0.0","4.12"
"Products","I want to Get a single product","ERROR","2022-10-25T17:28:15.4043119+07:00[Asia/Bangkok]","0.0","0.01"
"Products","I want to Get Limit results","ERROR","2022-10-25T17:28:15.4215478+07:00[Asia/Bangkok]","0.0","0.02"
"Products","I want to Get Sort results","ERROR","2022-10-25T17:28:15.4435999+07:00[Asia/Bangkok]","0.0","0.01"
"Products","I want to Add new product","ERROR","2022-10-25T17:28:15.4591888+07:00[Asia/Bangkok]","0.0","0.01"
"User","I want to get all users","ERROR","2022-10-25T17:28:11.2836253+07:00[Asia/Bangkok]","0.0","0.94"
"User","I want to Add new user","ERROR","2022-10-25T17:28:12.244692+07:00[Asia/Bangkok]","0.0","0.09"
"User","I want to delete a user","ERROR","2022-10-25T17:28:12.3514428+07:00[Asia/Bangkok]","0.0","0.06"
